dwelling,amplitude_k,shift_steps_15min,ar1_phi,innovation_sd_kw
1,0.9452083091762852,-3,0.85,0.05592935136339571
2,1.4116616303416438,3,0.85,0.08115765154874133
3,1.1075774407179944,2,0.85,0.06465238165285626
4,1.6,1,0.85,0.09438157087301587
5,0.8493271850042311,-2,0.85,0.048610511838072835
6,1.0101216584383257,3,0.85,0.05813536590964803
7,0.709384546467646,-1,0.85,0.04255972914481675
8,0.8024960804272262,1,0.85,0.04642245219972
9,0.8385089851607812,2,0.85,0.048781804340998
10,1.1453809053726731,1,0.85,0.06782449691008313
11,1.4657110081382085,1,0.85,0.0857973397090596
12,1.038513909668213,-3,0.85,0.05931887729417832
13,0.9119938725045679,1,0.85,0.05239926429986385
14,1.173169219542813,0,0.85,0.0683348931470103
15,1.1370024165777675,-2,0.85,0.06616542128575376
