element_id,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,geo
0,Line R1-R2,UG1,2,3,0.035,0.162,0.0832,0.0,0.0,1.0,1.0,1,cs,True,
1,Line R2-R3,UG1,3,4,0.035,0.162,0.0832,0.0,0.0,1.0,1.0,1,cs,True,
2,Line R3-R4,UG1,4,5,0.035,0.162,0.0832,0.0,0.0,1.0,1.0,1,cs,True,
3,Line R4-R5,UG1,5,6,0.035,0.162,0.0832,0.0,0.0,1.0,1.0,1,cs,True,
4,Line R5-R6,UG1,6,7,0.035,0.162,0.0832,0.0,0.0,1.0,1.0,1,cs,True,
5,Line R6-R7,UG1,7,8,0.035,0.162,0.0832,0.0,0.0,1.0,1.0,1,cs,True,
6,Line R7-R8,UG1,8,9,0.035,0.162,0.0832,0.0,0.0,1.0,1.0,1,cs,True,
7,Line R8-R9,UG1,9,10,0.035,0.162,0.0832,0.0,0.0,1.0,1.0,1,cs,True,
8,Line R9-R10,UG1,10,11,0.035,0.162,0.0832,0.0,0.0,1.0,1.0,1,cs,True,
9,Line R3-R11,UG3,4,12,0.03,0.822,0.0847,0.0,0.0,1.0,1.0,1,cs,True,
10,Line R4-R12,UG3,5,13,0.035,0.822,0.0847,0.0,0.0,1.0,1.0,1,cs,True,
11,Line R12-R13,UG3,13,14,0.035,0.822,0.0847,0.0,0.0,1.0,1.0,1,cs,True,
12,Line R13-R14,UG3,14,15,0.035,0.822,0.0847,0.0,0.0,1.0,1.0,1,cs,True,
13,Line R14-R15,UG3,15,16,0.03,0.822,0.0847,0.0,0.0,1.0,1.0,1,cs,True,
14,Line R6-R16,UG3,7,17,0.03,0.822,0.0847,0.0,0.0,1.0,1.0,1,cs,True,
15,Line R9-R17,UG3,10,18,0.03,0.822,0.0847,0.0,0.0,1.0,1.0,1,cs,True,
16,Line R10-R18,UG3,11,19,0.03,0.822,0.0847,0.0,0.0,1.0,1.0,1,cs,True,
17,Line I1-I2,UG2,21,22,0.2,0.2647,0.0823,0.0,0.0,1.0,1.0,1,cs,True,
18,Line C1-C2,OH1,24,25,0.03,0.4917,0.2847,0.0,0.0,1.0,1.0,1,ol,True,
19,Line C2-C3,OH1,25,26,0.03,0.4917,0.2847,0.0,0.0,1.0,1.0,1,ol,True,
20,Line C3-C4,OH1,26,27,0.03,0.4917,0.2847,0.0,0.0,1.0,1.0,1,ol,True,
21,Line C4-C5,OH1,27,28,0.03,0.4917,0.2847,0.0,0.0,1.0,1.0,1,ol,True,
22,Line C5-C6,OH1,28,29,0.03,0.4917,0.2847,0.0,0.0,1.0,1.0,1,ol,True,
23,Line C6-C7,OH1,29,30,0.03,0.4917,0.2847,0.0,0.0,1.0,1.0,1,ol,True,
24,Line C7-C8,OH1,30,31,0.03,0.4917,0.2847,0.0,0.0,1.0,1.0,1,ol,True,
25,Line C8-C9,OH1,31,32,0.03,0.4917,0.2847,0.0,0.0,1.0,1.0,1,ol,True,
26,Line C3-C10,OH2,26,33,0.03,1.3207,0.321,0.0,0.0,1.0,1.0,1,ol,True,
27,Line C10-C11,OH2,33,34,0.03,1.3207,0.321,0.0,0.0,1.0,1.0,1,ol,True,
28,Line C11-C12,OH3,34,35,0.03,2.0167,0.3343,0.0,0.0,1.0,1.0,1,ol,True,
29,Line C11-C13,OH3,34,36,0.03,2.0167,0.3343,0.0,0.0,1.0,1.0,1,ol,True,
30,Line C10-C14,OH3,33,37,0.03,2.0167,0.3343,0.0,0.0,1.0,1.0,1,ol,True,
31,Line C5-C15,OH2,28,38,0.03,1.3207,0.321,0.0,0.0,1.0,1.0,1,ol,True,
32,Line C15-C16,OH2,38,39,0.03,1.3207,0.321,0.0,0.0,1.0,1.0,1,ol,True,
33,Line C15-C17,OH3,38,40,0.03,2.0167,0.3343,0.0,0.0,1.0,1.0,1,ol,True,
34,Line C16-C18,OH3,39,41,0.03,2.0167,0.3343,0.0,0.0,1.0,1.0,1,ol,True,
35,Line C8-C19,OH3,31,42,0.03,2.0167,0.3343,0.0,0.0,1.0,1.0,1,ol,True,
36,Line C9-C20,OH3,32,43,0.03,2.0167,0.3343,0.0,0.0,1.0,1.0,1,ol,True,
