element_id,name,vn_kv,type,zone,in_service,geo
0,Bus 0,20.0,b,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[0.2, 1.0]}"
1,Bus R0,20.0,b,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[0.2, 1.0]}"
2,Bus R1,0.4,b,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-1.4583333333, 2.0]}"
3,Bus R2,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-1.4583333333, 3.0]}"
4,Bus R3,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-1.4583333333, 4.0]}"
5,Bus R4,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-1.9583333333, 5.0]}"
6,Bus R5,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-2.7083333333, 6.0]}"
7,Bus R6,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-2.7083333333, 7.0]}"
8,Bus R7,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-3.2083333333, 8.0]}"
9,Bus R8,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-3.2083333333, 9.0]}"
10,Bus R9,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-3.2083333333, 10.0]}"
11,Bus R10,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-3.7083333333, 11.0]}"
12,Bus R11,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-0.9583333333, 5.0]}"
13,Bus R12,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-1.2083333333, 6.0]}"
14,Bus R13,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-1.2083333333, 7.0]}"
15,Bus R14,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-1.2083333333, 8.0]}"
16,Bus R15,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-1.2083333333, 9.0]}"
17,Bus R16,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-2.2083333333, 8.0]}"
18,Bus R17,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-2.7083333333, 11.0]}"
19,Bus R18,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-3.7083333333, 12.0]}"
20,Bus I0,20.0,b,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[0.2, 1.0]}"
21,Bus I1,0.4,b,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[0.2, 2.0]}"
22,Bus I2,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[0.2, 3.0]}"
23,Bus C0,20.0,b,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[0.2, 1.0]}"
24,Bus C1,0.4,b,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[1.9166666667, 2.0]}"
25,Bus C2,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[1.9166666667, 3.0]}"
26,Bus C3,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[1.9166666667, 4.0]}"
27,Bus C4,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[0.5416666667, 5.0]}"
28,Bus C5,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[0.5416666667, 6.0]}"
29,Bus C6,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-0.2083333333, 7.0]}"
30,Bus C7,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-0.2083333333, 8.0]}"
31,Bus C8,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-0.2083333333, 9.0]}"
32,Bus C9,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-0.7083333333, 10.0]}"
33,Bus C10,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[3.2916666667, 5.0]}"
34,Bus C11,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[2.7916666667, 6.0]}"
35,Bus C12,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[2.2916666667, 7.0]}"
36,Bus C13,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[3.2916666667, 7.0]}"
37,Bus C14,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[3.7916666667, 6.0]}"
38,Bus C15,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[1.2916666667, 7.0]}"
39,Bus C16,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[0.7916666667, 8.0]}"
40,Bus C17,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[1.7916666667, 8.0]}"
41,Bus C18,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[0.7916666667, 9.0]}"
42,Bus C19,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[0.2916666667, 10.0]}"
43,Bus C20,0.4,m,CIGRE_LV,True,"{""type"":""Point"", ""coordinates"":[-0.7083333333, 11.0]}"
