element_id,name,bus,p_mw,q_mvar,const_z_p_percent,const_i_p_percent,const_z_q_percent,const_i_q_percent,sn_mva,scaling,in_service,type
0,Load R1,2,0.19,0.06244998,0.0,0.0,0.0,0.0,,1.0,True,wye
1,Load R11,12,0.01425,0.004683748,0.0,0.0,0.0,0.0,,1.0,True,wye
2,Load R15,16,0.0494,0.016236995,0.0,0.0,0.0,0.0,,1.0,True,wye
3,Load R16,17,0.05225,0.017173744,0.0,0.0,0.0,0.0,,1.0,True,wye
4,Load R17,18,0.03325,0.010928746,0.0,0.0,0.0,0.0,,1.0,True,wye
5,Load R18,19,0.04465,0.014675745,0.0,0.0,0.0,0.0,,1.0,True,wye
6,Load I2,22,0.085,0.052678269,0.0,0.0,0.0,0.0,,1.0,True,wye
7,Load C1,24,0.108,0.052306787,0.0,0.0,0.0,0.0,,1.0,True,wye
8,Load C12,35,0.018,0.008717798,0.0,0.0,0.0,0.0,,1.0,True,wye
9,Load C13,36,0.018,0.008717798,0.0,0.0,0.0,0.0,,1.0,True,wye
10,Load C14,37,0.0225,0.010897247,0.0,0.0,0.0,0.0,,1.0,True,wye
11,Load C17,40,0.0225,0.010897247,0.0,0.0,0.0,0.0,,1.0,True,wye
12,Load C18,41,0.0072,0.003487119,0.0,0.0,0.0,0.0,,1.0,True,wye
13,Load C19,42,0.0144,0.006974238,0.0,0.0,0.0,0.0,,1.0,True,wye
14,Load C20,43,0.0072,0.003487119,0.0,0.0,0.0,0.0,,1.0,True,wye
